kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,ten_strings_fifty_decimal_strings,10,1000000,1199,898329779.000,898.330,1113176.946,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,1,1000000,1199,923735689.000,923.736,1082560.750,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,2,1000000,1199,919921100.000,919.921,1087049.748,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,3,1000000,1199,917844167.000,917.844,1089509.566,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,4,1000000,1199,918545557.000,918.546,1088677.630,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,5,1000000,1199,927734451.000,927.734,1077894.649,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,6,1000000,1199,921435036.000,921.435,1085263.704,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,7,1000000,1199,935344611.000,935.345,1069124.672,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,8,1000000,1199,923928085.000,923.928,1082335.321,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,9,1000000,1199,921490574.000,921.491,1085198.295,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,ten_strings_fifty_decimal_strings,10,1000000,1199,924957731.000,924.958,1081130.485,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,1,1000000,1199,935189744.000,935.190,1069301.718,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,2,1000000,1199,932455658.000,932.456,1072437.055,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,3,1000000,1199,928899470.000,928.899,1076542.761,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,4,1000000,1199,936712755.000,936.713,1067563.129,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,5,1000000,1199,927113104.000,927.113,1078617.049,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,6,1000000,1199,930746762.000,930.747,1074406.101,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,7,1000000,1199,931914688.000,931.915,1073059.597,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,8,1000000,1199,928652738.000,928.653,1076828.785,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,9,1000000,1199,935226144.000,935.226,1069260.100,1199000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,ten_strings_fifty_decimal_strings,10,1000000,1199,927936415.000,927.936,1077660.046,1199000000
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,1,1,2483,40706901.000,40706901.000,24.566,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,2,1,2483,7634398.000,7634398.000,130.986,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,3,1,2483,4682164.000,4682164.000,213.576,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,4,1,2483,5260713.000,5260713.000,190.088,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,5,1,2483,7633455.000,7633455.000,131.002,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,6,1,2483,4215996.000,4215996.000,237.192,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,7,1,2483,5048573.000,5048573.000,198.076,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,8,1,2483,3533798.000,3533798.000,282.982,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,9,1,2483,4980165.000,4980165.000,200.797,1
registry,confluent_schema_registry,http,registry_lookup_keepalive,schema_registry_lookup,10,1,2483,3355987.000,3355987.000,297.975,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,1,1,2483,17486172.000,17486172.000,57.188,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,2,1,2483,14779720.000,14779720.000,67.660,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,3,1,2483,16646041.000,16646041.000,60.074,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,4,1,2483,15504190.000,15504190.000,64.499,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,5,1,2483,16212238.000,16212238.000,61.682,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,6,1,2483,16879042.000,16879042.000,59.245,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,7,1,2483,18325800.000,18325800.000,54.568,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,8,1,2483,13455685.000,13455685.000,74.318,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,9,1,2483,14535787.000,14535787.000,68.796,1
registry,confluent_schema_registry,http,cold_lookup_new_connection,schema_registry_lookup,10,1,2483,13996867.000,13996867.000,71.445,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,1,1,2400,31627368.000,31627368.000,31.618,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,2,1,2400,21716099.000,21716099.000,46.049,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,3,1,2400,20327984.000,20327984.000,49.193,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,4,1,2400,17260756.000,17260756.000,57.935,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,5,1,2400,18607868.000,18607868.000,53.741,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,6,1,2400,16606292.000,16606292.000,60.218,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,7,1,2400,14408122.000,14408122.000,69.405,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,8,1,2400,17202931.000,17202931.000,58.130,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,9,1,2400,16023794.000,16023794.000,62.407,1
registry,confluent_schema_registry,http,cold_register,schema_registry_registration,10,1,2400,14922839.000,14922839.000,67.011,1
registry,confluent_schema_registry,http,cache_miss_404,schema_registry_cache_miss,1,1,97,19232759.000,19232759.000,51.995,404
