mode,test_case,repetition,iterations,completed,dropped,payload_bytes,hot_elapsed_ns,worker_wall_ns,hot_mean_ns,hot_p50_ns,hot_p99_ns,worker_mean_ns,worker_p50_ns,worker_p99_ns,checksum
async_protobuf,ten_strings_fifty_decimal_strings,6,1000000,1000000,0,1199,45657424,1045993115,22.740,41,42,1021.333,1000,1084,1199000000
async_protobuf,one_string_ten_int64,7,1000000,1000000,0,55,55381739,161487351,29.908,41,83,128.354,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,7,1000000,1000000,0,219,52770513,291187119,26.015,41,42,261.180,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,7,1000000,1000000,0,1199,45481424,1041921630,22.667,41,42,1017.224,1000,1084,1199000000
async_protobuf,one_string_ten_int64,8,1000000,1000000,0,55,56099452,161292059,30.434,41,83,128.530,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,8,1000000,1000000,0,219,52974889,290213363,26.020,41,42,260.025,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,8,1000000,1000000,0,1199,45449924,1078446453,22.765,41,42,1052.547,1041,1167,1199000000
async_protobuf,one_string_ten_int64,9,1000000,1000000,0,55,55648823,161206183,29.889,41,83,128.225,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,9,1000000,1000000,0,219,52991931,289470108,26.142,41,83,259.551,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,9,1000000,1000000,0,1199,45433590,1049594055,22.699,41,42,1024.631,1000,1125,1199000000
async_protobuf,one_string_ten_int64,10,1000000,1000000,0,55,56711497,162758360,30.758,41,83,129.338,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,10,1000000,1000000,0,219,53011889,290000320,26.172,41,83,259.872,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,10,1000000,1000000,0,1199,45138463,1075953394,22.446,41,42,1050.627,1000,1167,1199000000
async_pipe,one_string_ten_int64,1,1000000,1000000,0,55,55309905,162733901,30.184,41,83,130.188,125,167,88000000
async_pipe,one_string_ten_decimal_strings,1,1000000,1000000,0,219,86188732,145976125,39.991,42,84,92.519,83,167,202000000
async_pipe,ten_strings_fifty_decimal_strings,1,1000000,1000000,0,1199,58368216,289796568,28.793,41,84,258.671,250,292,1088000000
async_pipe,one_string_ten_int64,2,1000000,1000000,0,55,55306863,163039528,29.879,41,83,130.428,125,167,88000000
async_pipe,one_string_ten_decimal_strings,2,1000000,1000000,0,219,79639647,131067818,36.850,42,83,80.589,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,2,1000000,1000000,0,1199,53872729,281997809,26.477,41,42,251.994,250,292,1088000000
async_pipe,one_string_ten_int64,3,1000000,1000000,0,55,55296197,162798860,29.551,41,83,130.212,125,167,88000000
async_pipe,one_string_ten_decimal_strings,3,1000000,1000000,0,219,81094157,132403535,37.916,42,83,80.875,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,3,1000000,1000000,0,1199,54104355,296260944,26.529,41,83,264.875,250,333,1088000000
async_pipe,one_string_ten_int64,4,1000000,1000000,0,55,55594323,163185821,30.583,41,84,130.525,125,167,88000000
async_pipe,one_string_ten_decimal_strings,4,1000000,1000000,0,219,82662542,133832045,38.570,42,84,81.903,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,4,1000000,1000000,0,1199,53930895,293857637,26.455,41,83,262.882,250,292,1088000000
async_pipe,one_string_ten_int64,5,1000000,1000000,0,55,57908130,165517253,31.590,41,84,131.994,125,167,88000000
async_pipe,one_string_ten_decimal_strings,5,1000000,1000000,0,219,80038984,131031443,37.479,42,83,80.513,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,5,1000000,1000000,0,1199,54237106,284424284,26.799,41,83,254.128,250,292,1088000000
async_pipe,one_string_ten_int64,6,1000000,1000000,0,55,55598365,163260196,30.054,41,83,130.588,125,167,88000000
async_pipe,one_string_ten_decimal_strings,6,1000000,1000000,0,219,75553329,128482510,35.364,42,83,81.430,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,6,1000000,1000000,0,1199,54238481,297619953,26.565,41,83,266.146,250,292,1088000000
